Date,Day,PlayerA,PlayerB,PlayerC,PlayerD,PlayerE,PlayerF
3/14/2023,Tuesday Steps,7568,2709,8838,5462,11190,10981
3/15/2023,Wednesday Steps,5842,10417,16648,6102,10480,12086
3/16/2023,Thursday Steps,4625,14941,10419,3822,10224,12239
3/17/2023,Friday Steps,3136,19406,6332,8217,7036,11181
3/18/2023,Saturday Steps,11246,20913,584,10018,10052,16069
3/19/2023,Sunday Steps,5364,14067,8581,5588,2234,9088
3/20/2023,Monday Steps,7498,4675,11308,7946,10412,9181
3/21/2023,Tuesday Steps,6879,4246,,6371,10103,11214
3/22/2023,Wednesday Steps,5911,19554,8252,6194,7019,7927
3/23/2023,Thursday Steps,2539,18903,7886,5897,10320,14066
3/24/2023,Friday Steps,4054,25070,8458,5336,10158,6610
3/25/2023,Saturday Steps,5080,49385,8645,6289,7139,8208
3/26/2023,Sunday Steps,5177,11933,7169,17354,10916,3921
3/27/2023,Monday Steps,8300,18794,10558,16247,8393,5504
,Total Steps,83219,235013,113678,110843,125676,71644
,,,,,,,
,,,,,,,
,Team Total Steps,740073,,,,,